"Scenario","p_star","Sign_Changes_Delta2","Delta2_Range","Always_Positive","Always_Negative","Mixed_Signs","Delta2_at_pstar","Notes"
"A1",3,"2,3","[-0.0066, 0.0329]","No","No","Yes",-0.00661444885763651,"Sign changes at p=2,3"
"A2",1,"None","[0.0001, 0.3168]","Yes","No","No",0.15840097312506,"No sign changes (no classical inflection point)"
"A3",20,"None","[0.0000, 0.0032]","Yes","No","No",4.12673361655375e-05,"No sign changes (no classical inflection point)"
"B1W",3,"2,3","[-0.0052, 0.0366]","No","No","Yes",-0.0052145773653903,"Sign changes at p=2,3"
"B1S",3,"None","[0.0001, 0.0863]","Yes","No","No",0.00739618723135915,"No sign changes (no classical inflection point)"
"B2",3,"None","[0.0001, 0.0912]","Yes","No","No",0.00526759521590267,"No sign changes (no classical inflection point)"
"B3",3,"None","[0.0001, 0.0668]","Yes","No","No",0.00280474300260289,"No sign changes (no classical inflection point)"
"C1",5,"None","[0.0001, 0.0402]","Yes","No","No",0.00645462455467853,"No sign changes (no classical inflection point)"
"C2",10,"None","[0.0001, 0.0198]","Yes","No","No",0.00121174510929793,"No sign changes (no classical inflection point)"
"C3",8,"2,3","[-0.0067, 0.0308]","No","No","Yes",0.0038716425032377,"Sign changes at p=2,3"
